ID,EXPERIMENT_NAME,SAMPLE_NAME,TIME,BIO_REP,TEC_REP,TSS_BIOMASS_G,TSS_g/L,VSS_BIOMASS_G,VSS_g/L,TSS_%,VSS_%
CH230914,LT,70,48,3,1,0.0291,1.9400000000000002,0.0027304347826087056,0.18202898550724703,90.61706260271923,9.382937397280774
CH230724,LT,Control,48,1,1,0.0199,1.3266666666666667,0.000630434782608701,0.04202898550724673,96.8319860170417,3.1680139829582963
CH230807,LT,Control,48,2,1,0.022699999999999998,1.5133333333333332,0.0007304347826087038,0.04869565217391359,96.78222562727443,3.217774372725568
CH230914,LT,Control,48,3,1,0.027499999999999997,1.833333333333333,0.0022304347826086913,0.14869565217391276,91.88932806324112,8.110671936758878
CH230709,PT,12,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230801,PT,12,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230906,PT,12,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230709,PT,3,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230801,PT,3,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230906,PT,3,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230709,PT,6,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230801,PT,6,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230906,PT,6,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230709,PT,9,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230801,PT,9,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230906,PT,9,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230709,PT,Control,0,1,1,0.02579999999999999,1.2899999999999996,0.0012304347826086904,0.061521739130434516,95.23087293562523,4.7691270643747705
CH230801,PT,Control,0,2,1,0.0165,1.1,0.0009304347826086957,0.06202898550724638,94.36100131752306,5.638998682476943
CH230906,PT,Control,0,3,1,0.019299999999999998,1.2866666666666664,0.0009304347826086957,0.06202898550724638,95.17909439062852,4.820905609371481
CH230709,PT,12,12,1,1,0.010099999999999998,0.6733333333333332,0.0021304347826087023,0.14202898550724682,78.90658631080493,21.093413689195074
CH230801,PT,12,12,2,1,0.016400000000000012,1.0933333333333342,0.001530434782608699,0.10202898550724661,90.6680805938494,9.331919406150597
CH230906,PT,12,12,3,1,0.014299999999999993,0.9533333333333328,0.001530434782608699,0.10202898550724661,89.29765886287622,10.702341137123776
CH230709,PT,3,12,1,1,0.011099999999999999,0.7399999999999999,0.00013043478260868664,0.008695652173912443,98.82491186839022,1.1750881316097899
CH230801,PT,3,12,2,1,0.016399999999999998,1.093333333333333,0.00013043478260870052,0.008695652173913368,99.20466595970305,0.7953340402969546
CH230906,PT,3,12,3,1,0.018500000000000003,1.2333333333333334,0.00033043478260869237,0.02202898550724616,98.21386603995302,1.7861339600469859
CH230709,PT,6,12,1,1,0.014899999999999997,0.9933333333333331,0.0006304347826086871,0.042028985507245806,95.76889407645176,4.2311059235482364
CH230801,PT,6,12,2,1,0.020300000000000012,1.3533333333333342,0.0011304347826087014,0.07536231884058009,94.43135575069606,5.568644249303944
CH230906,PT,6,12,3,1,0.02020000000000001,1.3466666666666673,0.000630434782608701,0.04202898550724673,96.8790357296599,3.120964270340102
CH230709,PT,9,12,1,1,0.01390000000000001,0.9266666666666673,0.0009304347826087096,0.062028985507247295,93.30622458554886,6.693775414451142
CH230801,PT,9,12,2,1,0.018799999999999997,1.2533333333333332,0.0009304347826086957,0.06202898550724638,95.05087881591119,4.949121184088807
CH230906,PT,9,12,3,1,0.0199,1.3266666666666667,0.0010304347826086985,0.06869565217391324,94.82193576578544,5.178064234214566
CH230709,PT,Control,12,1,1,0.015600000000000003,1.04,0.0005304347826086981,0.03536231884057987,96.59977703455962,3.400222965440372
CH230801,PT,Control,12,2,1,0.019599999999999992,1.3066666666666662,0.00073043478260869,0.04869565217391267,96.27329192546587,3.726708074534134
CH230906,PT,Control,12,3,1,0.01949999999999999,1.2999999999999994,0.0006304347826086871,0.042028985507245806,96.76700111482724,3.2329988851727562
CH230709,PT,12,24,1,1,0.010999999999999996,0.7333333333333331,0.0021304347826087023,0.14202898550724682,80.6324110671936,19.36758893280639
CH230801,PT,12,24,2,1,0.014499999999999999,0.9666666666666666,0.0014304347826086961,0.09536231884057973,90.13493253373314,9.86506746626687
CH230906,PT,12,24,3,1,0.014100000000000001,0.9400000000000001,0.0020304347826086994,0.13536231884057995,85.59975331483193,14.400246685168078
CH230709,PT,3,24,1,1,0.0126,0.8400000000000001,0.0009304347826086957,0.06202898550724638,92.61559696342304,7.384403036576949
CH230801,PT,3,24,2,1,0.016399999999999998,1.093333333333333,0.00043043478260869523,0.028695652173913018,97.37539766702015,2.62460233297985
CH230906,PT,3,24,3,1,0.017799999999999996,1.1866666666666663,0.00043043478260869523,0.028695652173913018,97.58182706399609,2.4181729360039066
CH230709,PT,6,24,1,1,0.017200000000000007,1.1466666666666672,0.0010304347826086985,0.06869565217391324,94.00910010111222,5.99089989888778
CH230801,PT,6,24,2,1,0.019600000000000006,1.306666666666667,0.0007304347826087038,0.04869565217391359,96.2732919254658,3.7267080745342027
CH230906,PT,6,24,3,1,0.020500000000000004,1.366666666666667,0.000630434782608701,0.04202898550724673,96.92470837751853,3.0752916224814677
CH230709,PT,9,24,1,1,0.01609999999999999,1.0733333333333326,0.001530434782608699,0.10202898550724661,90.49419389684037,9.505806103159628
CH230801,PT,9,24,2,1,0.018600000000000005,1.2400000000000004,0.0008304347826086928,0.055362318840579516,95.5352968676952,4.464703132304798
CH230906,PT,9,24,3,1,0.019600000000000006,1.306666666666667,0.0013304347826087071,0.08869565217391381,93.21206743566987,6.787932564330136
CH230709,PT,Control,24,1,1,0.017600000000000005,1.1733333333333338,0.0012304347826087043,0.08202898550724695,93.00889328063236,6.991106719367634
CH230801,PT,Control,24,2,1,0.01780000000000001,1.1866666666666672,0.0007304347826087038,0.04869565217391359,95.89643380556907,4.103566194430918
